wnBYo8ecbnA,ZCg9xHNPR3k,ysPrhRq-HaE,0GUT3Egdd5k,1_-dZJ_4_Zc,xDjrk_NWjyU,Z9Ft-ppC0Mo,3TflpIllQHY,cxZT8OF1JnI,pUXjZT2ic6U,qc22XJhF-WY,jHSJoVUCf0I,6EMVkWKUopg,JcdLF6XQ0iw,idWpZ63isMo,NYQZx1irvYc
UCHF66aWLOxBW4l6VkSrS3cQ,UCJ0uqCI0Vqr2Rrt1HseGirg,UC8-Th83bH_thdKZDJCrn88g,UCGxokRiJdemUQuwPQKi5Llg,UCXsQlHGuoWqukC9vz-uonrg,UC2vXXI4SqOlSlRQo9vFlZ_w,UC3ZkCd7XtUREnjjt3cyY_gg,UCAfokLld0j4pa9gIGDfHOxQ,UC5BMQOsAB8hKUyHu9KI6yig,UC9MH128CsFj24Qm6vWqhmuw,UCuQ9PbS08dQJNWfwjQE-Fnw,UCi4_eFlo3rvZokGUXB_WoLQ,UCHF66aWLOxBW4l6VkSrS3cQ,UC1Ydgfp2x8oLYG66KZHXs1g,UC5BMQOsAB8hKUyHu9KI6yig
UC9k-yiEpRHMNVOnOi_aQK8w,UC9k-yiEpRHMNVOnOi_aQK8w,UC9k-yiEpRHMNVOnOi_aQK8w,UC9k-yiEpRHMNVOnOi_aQK8w,UC9k-yiEpRHMNVOnOi_aQK8w,UC9k-yiEpRHMNVOnOi_aQK8w,UC9k-yiEpRHMNVOnOi_aQK8w,UC9k-yiEpRHMNVOnOi_aQK8w,UC9k-yiEpRHMNVOnOi_aQK8w,UC9k-yiEpRHMNVOnOi_aQK8w,UC9k-yiEpRHMNVOnOi_aQK8w,UC9k-yiEpRHMNVOnOi_aQK8w,UC9k-yiEpRHMNVOnOi_aQK8w,UC9k-yiEpRHMNVOnOi_aQK8w,UC9k-yiEpRHMNVOnOi_aQK8w,UC9k-yiEpRHMNVOnOi_aQK8w
UCHEf6T_gVq4tlW5i91ESiWg,UCHEf6T_gVq4tlW5i91ESiWg,UCUAL--p3qAa27luR0IYbjZA,UCHEf6T_gVq4tlW5i91ESiWg,UCBXNpF6k2n8dsI6nBH8q4sQ,UCyjhyJoPHcQRxPLnWPjOecg,UCHEf6T_gVq4tlW5i91ESiWg,UCzTtkLZFy6wqD4SsA9_fTtw,UCHEf6T_gVq4tlW5i91ESiWg,UC0v-tlzsn0QZwJnkiaUSJVQ,UCaRH3rDr3K3CEfhVqu5mgUQ,UC9VX0KXNH20x9MCH3xGjisg,UCHEf6T_gVq4tlW5i91ESiWg,UCHEf6T_gVq4tlW5i91ESiWg,UCHEf6T_gVq4tlW5i91ESiWg,UCHEf6T_gVq4tlW5i91ESiWg
UCsZXuHKonP9utl5q2hFCkgA,UCsZXuHKonP9utl5q2hFCkgA,UCsZXuHKonP9utl5q2hFCkgA,UCsZXuHKonP9utl5q2hFCkgA,UCsZXuHKonP9utl5q2hFCkgA,UCsZXuHKonP9utl5q2hFCkgA,UCsZXuHKonP9utl5q2hFCkgA,UCsZXuHKonP9utl5q2hFCkgA,UCsZXuHKonP9utl5q2hFCkgA,UCsZXuHKonP9utl5q2hFCkgA,UCsZXuHKonP9utl5q2hFCkgA,UCsZXuHKonP9utl5q2hFCkgA,UCsZXuHKonP9utl5q2hFCkgA,UCsZXuHKonP9utl5q2hFCkgA,UCsZXuHKonP9utl5q2hFCkgA
3884704,44401417,472111,6752478,2772503,406039,3525864,56381212,22462746,15179121,19962693,60197787,13952097,47718374,10029281,9968176
91894775,1630825024,8842165,53657644,3769785,15964101,43545020,1407448,785150,68459998,7412230,166005975,477720632,25041958,12740545
1450270,4118476,1408035,739235,133295,1553396,4212089,32214,1238395,2054620,227380,403966,715220,1067672,102421,3567289
2219152,5477236,284740,1141018,6518291,28561611,9466900,8299573,6465933,4847532,19460366,163706,8871548,947519,12548055,4492133
892642,152503,2190355,921373,691251,385136,412103,2827870,2032354,1831637,2598151,502184,2227516,306168,4272432,2866003
601616,237972,3504465,2833,26848950,2131,148929,5240,12115277,3312117,549714,142234,13806697,209152,1899800
2009044,5473772,6226546,1447634,557720,4075603,260367,7462257,3386714,455249,3936758,208678,1003100,22139083,1281096,105404
1185274,4265397,3151632,3753901,2739449,1915818,2879372,4639518,1457249,2685422,6487729,15516466,4700988,4865540,6292345,16809871
419382,605685,132429,433336,170996,925107,6211,485322,648750,333401,25548,159759,623851,49964,632104,123249
422608,64700,787889,8474434,186643,868637,290054,40829,238669,148250,369462,1113655,5709915,2163712,2964804,4217340
438591,1553396,545077,253095,1067672,1133306,5177132,8506404,102421,9456,4492133,123762,571567,149738,2540421,227380
3554982,9981058,25078260,2512182,761653,12046982,1274382,3634210,16735024,3990819,2660218,17643304,1886514,25863411,4546915,4041100
1578719,1317013,48588370,13270653,767088,2844114,2998725,3437953,396997,119650,1466539,1924234,2944693,784710,2450339,17668
1866398,2909429,10029281,1975395,5498986,1132074,5116924,845725,3884704,7964391,1700799,5418848,3490056,1922922,5348805,1030594
414029,1726278,3884704,526886,46788376,472111,22299957,19883867,318473,7982513,4149452,30462979,1866398,9699214,3267162,121641
531633,527909,1804191,1329208,3003680,514633,3379907,5411504,464696,1067614,7082630,653803,3407725,2717908,2922440,5999654
1924234,3619092,147511,1280376,7321706,3404358,11057,298857,396999,914107,60011,3099240,1578719,1138069,11544485,161286
3703715,29467299,1615305,1218949,8284183,3625053,3370621,877754,2942695,3011777,5576384,2405223,228088,5591052,10918980,17189557
789031,2318434,985395,1827375,1038747,121611,2024415,816386,2285570,486162,2434958,540692,3288871,194210,2610255,1200331
2824877,2442417,3239693,4076632,4457204,6103246,6868470,3634210,7358278,2973035,1766050,6080523,2104020,1982500,3407294,702232
1568852,7507111,4635335,2061212,2754728,6127882,9649012,789031,6681499,194210,4667121,1038747,8944668,2794042,6912765,3754221
824315,81701,322026,1220570,6777,851124,616602,95629,725953,277178,132026,7650,180566,2381874,22911,266468
261945,966379,148385,1309726,3877481,2231208,1155764,3118011,222181,323159,815229,947484,952231,561038,1159077,964486
194731,819596,1694102,539229,683387,1687606,413828,1374661,655500,2095101,4805371,169666,994602,2672110,914325,521300
200464,4675956,2450339,48588370,1578719,3425055,2998725,1924234,651385,396999,3437953,25436403,90759,14771714,3263946,90751
2187897,74263808,17528245,3250087,81857486,3434522,51332376,2528294,29044593,237972,47736392,45252566,8827578,2533008,81798573
487369,4226666,11541910,6594085,1417226,1173724,198876,229966,37186,11951493,640192,22087,59867,150506,21360841,32038
879123,375870,4118476,1553396,179772,1591235,620427,403966,102421,452125,299551,4149491,117312,53203,381765,1056172
409441,624825,1023024,72138,218620,45690,187896,4556433,44164,24933,1393844,1121478,34687,486782,45038,1877992
284740,226954,1005578,2219152,5897530,873826,1508311,1141018,1489031,5631023,10581104,1173189,4999409,942403,163706,1535389
283567,1114648,1769276,1169568,3890504,701826,1424260,387533,5089046,16352,886563,400479,841523,549140,1229549,1053276
3793709,637245,30396468,2538297,16376624,8304797,981295,374185,1141018,7966127,3288570,27356184,398995,431166,7210939,4727491
787889,64980,8712763,422608,1428849,832409,5223497,431205,400479,62031,1876565,715050,24871,412498,31340,604858
2705243,10786575,2691124,37528,3080659,547847,542752,3662477,787889,3905702,80952,14165580,564383,265938,488914,1974786
321581,36006,12641206,2471904,640192,954694,3608050,6283645,82684,484289,489305,186920,340715,970244,376013,13382758
2973035,7109982,1074379,5286919,3428029,3904839,1809323,1343496,2564025,6194934,685658,13082900,7997324,215719,4044865,6941707
989597,11150037,2512182,3890504,9908646,1137168,845725,240893,433065,2918800,138750,2435954,7111809,221761,5523873,1667917
2095101,5407802,9958308,1794805,1109807,942017,14242535,1097866,705650,2843398,25914685,288271,98084666,853953,376077,2700820
1005158,1806776,921373,1407791,4063694,2316575,9590947,6247762,3629832,12283872,2741357,6497384,1048733,30119820,2095101,7006548
5590268,2805489,26490486,7014082,160,151357809,2468750,116055,633818,359160697,306363,12232,94419627,1092238,1057061
1725227,8386547,2294260,46114499,39989883,7796785,877754,428955,543909,16073736,20818113,3483649,1486869,394,24311603
564712,719063,3321877,151866,2576,616867,12938145,7695017,8999452,1791420,3912983,65664,284740,1206730,36871
11608321,56304,4260482,17673240,12308096,13681999,26385636,1013560,514916,268552,2655930,13482975,446174,40347,7341225,2625895
2117402,6733878,3988116,6852830,1808838,268373,3130837,2111122,3587927,1620079,9209664,43646346,514916,4473284,1553396,2604283
3819432,9578096,15714015,82745,10808528,4492133,3278493,452751,2040322,6274570,3465784,1361440,5167698,2969470,2420067,3056180
1056172,375870,1553396,2775370,4118476,1238395,3567289,179772,545077,12710169,53203,4492133,103679,1247529,452125,1194446
1580831,10693119,18728538,9116,182393,171458,6583427,31804528,1019816,3417129,381305,1751935,71187,1589737,2955477
230249,82097,1258133,1149104,440080,5897876,1305875,52538,1399052,4886165,1280933,2990361,1510275,1011179,78682,1234827
2772503,9189755,25951590,3876433,10033820,11043018,836879,121641,1244316,366982,894447,6738195,8872859,1277811,767772,267724
196857,655521,397789,2527590,1555022,1696258,1619698,3276096,1323405,2076680,1527349,2519720,658317,1221904,1819079
32836,141734,2106,2221,6940,3644,7025,64755,162284,1079,49426,9001,36398,332399,3635,38046
381607,216705,8255,2870,8350,12464,9458,1832,210,9213,10027,42475,133457,7090,1780
8065,17467,1255,1291,466,14384,3895,538,2317,3283,831,1456,4403,1257,1701,688
7835,14141,548,7225,13075,26893,8317,9390,13412,9788,11628,694,12366,3260,23137,11913
2599,1153,2177,2793,494,1420,1155,6879,6816,1424,4618,998,2517,932,5356,1167
3728,1486,1885,82,3190,87,765,135,1607,11221,212,696,4608,606,431
NULL,223,236,4145,1258
3222,3117,3358,2563,2907,2734,3586,3078,2672,5338,14863,1431,7150,13904,9761
1492,1604,2690,1547,1586,1721,116,1008,2930,911,97,229,1136,1307,1399,592
1431,678,5121,1636,275,679,1811,116,1555,114,77,699,2215,10385,6213,7647
3892,14384,2231,2370,1263,1853,8286,6696,1701,264,11913,1501,967,418,3109,831
8944,8265,54452,7347,6097,5734,136,6257,8292,6367,559,22144,5732,14349,8818,7227
4157,1233,9187,937,1053,1091,1666,1114,954,231,851,1398,2695,321,3816,76
7678,5982,3635,5205,11203,3414,809,32842,27110,5956,11642,4852,8422,8071,14003
4734,3970,32842,4174,5397,2106,2692,19898,5838,23147,6929,32824,7678,17558,11765,417
3643,1742,3167,4286,12073,3073,1684,4262,2626,13388,3261,1444,93,2860,1765
1398,1921,161,488,3478,1111,46,245,954,1041,40,699,4157,464,3526,117
367925,92093,6409,8008,22427,8140,10392,7005,10484,16183,10831,9295,518,14107,62544,62754
3224,4990,2405,4212,2459,1240,2363,3496,5789,2682,8693,1134,19361,1034,7671,4988
8180,771,7238,921,828,10752,2642,6257,5749,2204,2808,18388,725,845,21628,4123
11735,12103,5221,4978,4513,33340,14383,3224,8827,1034,7323,2459,33423,6508,12602,9157
10285,3466,1470,5851,1407,3645,3625,9604,870,2136,266,1940,27764,356,2555
895,1784,1996,1517,10070,5216,2091,6758,1573,1194,4289,2561,3496,2112,1623,3062
1567,4185,2973,5838,6582,6535,1956,8569,1673,6349,2658,724,1466,2074,1693,1555
169,2179,3816,9187,4157,974,1666,1398,315,954,1114,68121,37,2027,1192,305
5458,12495,5206,684,14450,1345,30890,2860,11524,1486,13519,10160,3952,1782,31687
725,2993,7951,1905,908,1544,263,204,387,495,55,158,615,0,48
15803,10745,17467,14384,3496,13692,2130,1456,1701,10323,3168,12372,1890,899,8479,13413
784,162,1792,44,209,63,463,451,53,16,1016,1495,36,397,44,942
548,991,7840,6271,868,1368,7225,36914,5027,6846,2055,3122,1730,694,2010
972,2755,632,3607,32847,1343,1450,1170,11021,0,2090,1106,2250,1260,2184,1759
4688,366,9909,548,24504,2764,389,26,7225,2444,672,11363,1357,355,1496,2075
5121,678,32608,1436,237,3043,2425,812,1106,18,3106,1175,9,1600,261,1474
9851,51578,7942,607,6914,487,555,7200,5121,12723,372,14472,930,610,1775,6934
557,117,3735,7417,495,2315,3099,2837,350,77,2054,105,586,596,155,3914
2204,1699,515,2018,1070,1124,1456,382,1851,89,1614,762
12232,34844,7347,32852,33984,809,890,568,36375,4416,28680,1534,33534
6349,10616,10191,2540,1081,1358,18526,711,50,6434,29576,1239,35804,1146,84,1159
14003,15490,2793,5374,1430,1997,9685,6423,18247,11509,846,1803,25693,6349,8055
11933,4260,8771,11875,0,19508,5607,410,592,64239,1049,5,52843,328,702
7539,17869,7327,88971,283680,4569,7005,869,243,21596,12224,1299,445,1,12510
6541,4238,13137,1660,58,4739,1732,8931,9967,3460,5665,226,548,845,743
25414,0,8111,17170,4010,8274,29799,4242,1724,1580,3185,27439,1172,0,4174,7482
12250,29356,32656,1138,15865,521,11306,10555,4989,15115,16722,1724,19056,14384,15793
7789,8957,9813,100,3984,11913,1083,446,3370,2946,2895,1092,1905,2659,1095,919
13413,10745,14384,2622,17467,2317,688,3496,2231,2521,899,11913,3032,5955,10323,5664
5616,24990,33716,31,1277,469,6743,15755,2992,3713,2758,9724,116,3561,8675
2320,147,1980,2013,81,7782,323,614,2677,1783,1634,2776,1827,702,317,1691
6940,12844,1465,4894,3635,2057,417,5659,3807,3618,13895,3645,1372,2552,1746
1167,1218,1147,1057,1541,2311,709,4038,2212,1732,1788,2116,1651,1964,2353
117711,1365515,14136,63119,70690,19550,121370,1340784,1145495,46451,633129,299091,208685,2100664,63557,192244
3329486,6740338,155794,286188,31548,305813,464522,10578,7749,460183,375723,1560081,1942941,176585,46658
27067,87803,10890,12804,4069,35317,128704,788,19134,30281,9206,8998,11457,20856,2007,16983
106587,189314,10131,57483,207027,303004,135284,154705,204016,379949,295645,4305,253101,16776,287967,134421
46640,14392,37475,17316,9196,6243,17691,91678,79901,14816,58327,19120,37895,6337,87126,14663
25417,11581,41074,191,170113,64,2183,622,97509,238129,6164,1290,117866,11410,15521
56336,21869,64977,47122,7767,41771,3790,139157,28636,10238,54606,4871,12122,166691,7355,2311
24849,27420,21610,26256,22243,23880,34510,23582,43684,36149,33676,88956,16853,41477,51321,66560
20301,21107,6606,11822,8595,19146,641,9908,22465,12462,1140,1506,8734,3680,10521,9054
31252,6352,71104,107655,20752,35393,18264,1712,13256,3849,5964,12521,26676,68379,126702,96238
24295,35326,9551,10806,20857,28136,137595,201793,2007,703,134424,5097,16774,2959,70835,9209
135519,171797,633551,74341,24938,174361,6667,113937,249795,108880,21838,383510,178846,442582,97643,157705
58090,14851,197848,46524,22120,15393,40426,27814,5552,6682,23288,22754,32675,8510,51510,560
39516,45626,63557,33520,53899,42086,35242,7428,117727,90664,30485,69871,40334,105919,51517,23622
18028,40871,117727,23724,178701,14137,100457,137601,21880,93210,57058,184302,39520,133111,86951,7951
11657,8841,24231,25007,36968,10096,26874,29895,10167,44384,32488,13401,32654,5624,51366,46081
22752,24629,1789,9748,34842,22824,540,3417,5552,6621,808,4689,58106,13079,49379,1935
285429,891026,94856,37405,182732,122944,210819,65836,140574,106090,101296,81281,12275,217840,426902,538008
28400,47993,30301,47390,33906,4765,40997,28764,56138,24428,85985,8610,92972,15150,96358,31465
101243,16042,67777,19450,20175,35629,48238,113937,88462,50606,48201,113168,11562,9205,225688,59385
54641,92700,83004,36898,62684,776634,184038,28409,67400,15150,136058,33906,176107,67184,125106,72978
3691,1566,3921,13783,566,4961,8208,457,20353,8195,999,195,2748,16372,118,5083
6336,16372,4632,15519,80095,43559,18876,53393,4034,5832,13419,13459,15283,11897,13177,18802
9977,24331,38981,18117,22217,51472,22639,39282,19575,104804,12550,8517,22931,34493,21580,17217
2283,26024,51510,197848,58108,22172,40426,22755,2612,5554,27814,322773,1758,52833,23113,1196
106446,363803,123869,16930,519360,23080,501130,71180,349954,11584,116531,360347,131741,17890,477419
3858,29553,74571,24783,8091,10717,1703,2365,351,20802,4283,480,526,3498,63557,393
47338,15655,87817,35332,13053,46994,19427,9001,2007,19659,9979,57846,3583,2845,16421,27639
6095,3486,4716,548,1791,255,905,16656,300,518,10905,5582,190,4547,322,7555
10131,32333,33946,106613,111059,24416,42311,57498,60864,86862,153711,22018,89141,28671,4305,29759
8117,20603,13741,24457,117740,15580,30021,9695,85663,111,18190,10040,16143,11253,25875,21354
107997,15030,214822,23134,211877,44535,11624,1005,57498,72716,26450,276620,3510,7554,46990,65450
71103,6370,199007,31263,5076,44134,47668,6551,10040,234,33292,17623,23314,3078,14743
79630,189800,67048,636,72524,7263,10589,44411,71111,89826,550,196381,8881,1113,20936,40166
1966,1752,90413,31571,4283,8310,19035,33776,809,1732,8422,2990,3071,10252,2473,69694
50604,99689,22652,47330,54470,93318,12122,11921,43427,64033,17321,164298,57937,1787,44839,22961
38608,154456,74351,117749,162614,34473,7428,3337,5759,66014,1425,59908,101339,6990,113334,35736
104796,142554,99148,23421,6967,7156,251550,9005,2550,40737,399687,8879,380495,9374,1541,15075
78532,36241,17319,46350,38961,32146,35403,71879,71846,368584,62567,23952,17888,214105,104808,67423
273839,151959,408797,338500,19,1018394,206318,4492,31620,1866732,23531,94,1101501,9834,53683
167495,346094,60532,1450013,2134849,49465,65845,12248,4520,414323,228448,34001,11997,33,293464
68777,32606,120109,8104,360,63265,152338,136147,155432,122420,104503,1871,10136,36325,2535
185275,6067,79442,197514,119387,138736,677914,89474,7658,4331,57396,297023,7571,4292,97366,65711
70070,114374,130738,59144,30564,6587,62392,90576,45779,88994,108438,114897,7658,128008,35334,80311
98693,244247,332730,1845,77426,134432,40932,3459,62676,70934,69438,17630,33578,22092,28586,17327
27635,15656,35336,29099,87823,19137,16984,13060,9555,71312,2846,134432,4690,24024,19665,28634
107894,552399,636591,681,7101,3415,75792,490864,50745,29787,74793,2856,31695
5825,1599,12900,13239,3564,56856,7372,2579,16592,35538,11990,14247,9623,8927,2034,10276
70690,145352,72155,68473,63567,15691,22902,7953,28959,14542,26822,107293,128143,37873,23219,10823
8919,9306,7800,25924,16268,28308,17995,42854,20860,24104,17098,31634,13966,23187,28584
8911,42849,229,4524,1846,502,1042,121058,15171,17602,9414,51540,3762,44820,7198,7217
230360,291726,1764,11126,2195,9121,7451,1870,860,12246,1287,40550,76917,4841,4816
2599,5354,1276,479,494,1607,1033,47,738,2296,611,609,4509,1221,142,1112
1106,3514,227,374,2037,11354,3854,2614,1916,1208,3456,533,2069,715,11434,3456
560,887,982,777,163,176,193,1763,5104,1076,3289,457,1329,227,1553,922
1134,420,1586,5,11886,25,108,37,4772,3732,211,244,5367,192,922
1793,1605,2003,1370,245,1275,110,4985,1644,237,1161,77,447,7945,404,45
679,792,941,962,663,2017,1351,2245,3449,1367,1342,4503,520,7657,7556,2381
172,174,324,212,148,286,6,180,215,190,31,370,807,26,558,35
401,133,362,6038,53,789,216,153,265,80,382,313,2353,1707,732,1667
732,1607,389,149,1222,570,5420,1861,142,10,3456,418,217,151,4784,611
12611,6734,35458,2369,701,3749,505,4767,5202,5086,907,22813,1662,6297,7201,4927
997,372,26893,2216,220,905,904,1341,252,59,645,642,1709,276,872,11
3410,922,7198,755,2362,744,1386,1342,8915,4500,677,1714,1146,830,1745,429
381,1001,8916,898,29380,229,14907,3857,308,1505,1072,6548,3410,2503,1295,120
1009,404,2055,962,2185,615,3206,13124,955,3946,3184,383,4381,268,604,1113
641,2778,99,436,2911,1446,16,102,252,232,20,988,997,404,5925,67
3831,24065,1430,3062,14569,1679,2379,312,2403,1198,3568,2173,145,2883,60031,26589
460,3379,1437,2392,2789,310,520,2313,1628,293,2314,884,13212,546,2784,1247
2271,388,1893,1239,1911,8250,2334,4767,4837,1284,853,4200,2379,1325,5150,368
16744,4789,7137,4911,2192,11831,8259,460,5375,546,4036,2789,11036,1575,4268,2421
2953,368,160,541,190,2631,814,183,900,310,275,26,277,5627,25,254
249,607,642,529,2274,845,583,1620,339,231,5654,544,2349,775,687,636
631,304,578,705,699,1083,269,1609,265,801,3567,94,144,459,395,160
71,1660,872,26893,997,1020,904,642,175,252,1341,17550,36,6708,1602,50
3555,29412,5835,657,34323,1808,17815,1534,11884,420,7436,12540,4715,1325,31004
229,1004,4992,1536,965,2018,51,45,94,2517,140,8,17,127,33610,15
1028,1300,5355,1607,211,8292,401,609,142,1342,606,4893,429,36,878,872
148,133,363,19,42,14,53,1293,10,6,485,599,12,92,23,349
227,147,302,1106,1988,393,589,374,1400,1596,5448,2100,1993,816,533,1015
364,921,1535,533,8920,645,993,537,3119,24,690,452,627,660,921,1180
1970,135,11262,947,12642,5121,251,26,374,2012,244,14661,2639,123,2516,917
362,133,9262,401,465,150,5709,166,452,42,3148,102,414,71,831
2921,38509,2391,73,2515,390,207,4541,362,4421,111,10921,918,166,674,1618
205,22,3333,616,140,502,930,1642,54,50,123,47,85,437,51,2449
1283,1743,215,1215,822,1658,687,424,1262,1626,126,4670,1536,63,968,1976
462,3818,2369,8921,3285,1349,1342,115,122,855,75,1399,2791,196,3193,915
801,3974,8300,1144,1087,419,3742,557,601,2045,10813,1271,78117,823,249,1848
900,642,777,791,2112,1639,3995,5190,3186,8710,2407,1807,247,24900,801,4464
6229,2797,15219,6174,1,44777,1096,256,432,114639,380,12,110208,886,427
1556,3783,2594,27980,92220,639,312,329,192,6603,3990,610,257,0,3851
619,472,1521,80,8,461,2913,1952,2004,1757,1409,26,227,301,131
27422,237,2413,9863,9872,14435,21165,324,406,145,1260,7308,187,195,5427,1679
2256,10903,4371,5445,558,430,4911,1129,3564,847,8955,51181,406,7804,1607,2634
2085,1556,3093,16,3792,3456,916,187,1160,989,762,305,922,3211,354,1262
872,1300,1607,2061,5355,738,1112,211,390,7226,36,3456,340,1833,1342,1819
1766,17212,8779,5,151,93,1863,13134,1778,440,2626,50,2092
1255,34,482,946,79,2060,164,133,411,621,330,769,357,179,44,353
1846,3299,17851,1713,7199,4704,1049,120,535,301,286,2790,3043,620,237,212
128,159,84,244,355,328,136,433,252,333,325,421,221,274,289
