tYHTVjfShOA,uE6gud1voDs,t4OumncEiKo,1SwVSTKFCsc,w0W5XQjcFMs,5FerW3Z3Lq0,987kkc_sq5I,XGKROFmUprg,rWsoxxTIGyc,-dDbklqLjJM,L8nh1wuXTbI,984NGLLYDUg,sx5k8xd_VoU,bmlLHf71XXw,yKwijuAFoZM,CWK6an4mYL0
UCJ0uqCI0Vqr2Rrt1HseGirg,UCJ0uqCI0Vqr2Rrt1HseGirg,UCJ0uqCI0Vqr2Rrt1HseGirg,UCArZhtifgQgRV3GJtxuj9AA,UC3q2YwNGj7ktNf70PqMW72g,UC1Ydgfp2x8oLYG66KZHXs1g,UCOXSuPsvR-sAQ3IpXYWKeOg,UCJ0uqCI0Vqr2Rrt1HseGirg,UCkuIScGcdKTUP21xZRlUMHg,UCOmHUn--16B90oW2L6FRR3A,UCbD8EppRX3ZwJSou-TVo90A,UCJ0uqCI0Vqr2Rrt1HseGirg,UCx-qtMQfV0umhiBvCosncmA,UCDVaPDNQiBQnF5wo5nuCKMA,UCzh0xrjYzTmH8hH68Uy-Q2w
UC1KsxDW7hhfeq5QQmFtInIw,UC1KsxDW7hhfeq5QQmFtInIw,UC9E7xAEKfPQr7Uf7bZSK3SQ,UCbpMy0Fg74eXXkvxJrtEn3w,UCjL8RB2T0AAidox0qkwjn4g,UCbaGn5VkOVlcRgIWAHcrJKA,UCpko_-a4wgz2u_DgDgd9fqA,UC1KsxDW7hhfeq5QQmFtInIw,UCHEf6T_gVq4tlW5i91ESiWg,UC4PooiX37Pld1T8J5SYT-SQ,UCxAS_aK7sS2x_bqnlJHDSHw,UCucot-Zp428OwkyRm2I7v2Q,UC1KsxDW7hhfeq5QQmFtInIw,UCO-qVhEr4PqqjR0unwbVAxw,UCbAwSkqJ1W_Eg7wr3cp5BUA,UC3p5HI_DYFuH5xDUgCIr94g
10205401,22114553,6674841,16962134,1300610,2157301,2039334,18164845,1463588,2455841,20776975,11786594,2615482,1193966,7803098,9605399
3311602,83489,2978100,1905151,520357,665717,203523,1125594,330804,1017019,3861153,37579,37937,1779663,277845,7085
1127230,521528,612346,24059851,786274,4754808,36511,12850730,2652239,7706525,2608141,2137775,153446,2312012,1308169,3941584
615310,2971662,23962934,881345,8884818,12704139,29183,5432593,642206,386836704,10336615,2624135,5283613,17648228,1584857
841625,91215,2829990,944816,250840,431485,30763,960216,13695667,702743,2277327,201204,1249050,59163,3603900,546524
1433253,3630388,1060687,2774261,11364475,1623439,3045560,4957633,843123,1151952,412864,4940315,1539365,1430629,540856,3894308
8095683,502919,31468993,9433000,208448,1712654,2338058,96317,52191,781982,30029,210966,3622452,48511,168416,79962
6282975,1241163,375942,2121250,2501666,2845823,43394704,1144213,73492,5800364,735637,70968,1017037,1263784,1208158
1994235,58544843,154538,23962934,67647831,386836704,45511145,4607103,40076804,35133489,37392841,14360522,23245480,37352060,30476328
260789,140715,521254,15308389,1961955,76101,2523092,670280,16320,95400,1297818,153632,1607388,183079,341783,663309
23962934,1068253,832755,4138756,58494818,309692,81200856,498644400,28365,141584620,9723611,1434543,687458,266998156,187799934
647806,151564,3595563,4166002,176594,961840,2440388,221231,1652676,821639,83881,93799,970066,2565050,726645,9003630
NULL,12975407,185502,6478282,8048201,672,23962934,566557,2376371,11430,123670,15531,3566447,5865897,1743552
2478917,5869957,1535039,2220858,260821,81585,22555773,8767049,1490875,478232,4887060,184100,293007,2200409,95727,19521690
465539,36505324,5106987,1958220,19680038,2670364,599945,1101288,1310452,1519291,8404771,2017889,1198386,2045432,1785460,841380
1269084,448293,1676552,6487184,3601207,4512417,6120030,1041044,3438980,936559,24148866,17594204,778674,12906050,2227726,476961
283166,515746,1653357,1738556,1654948,970589,1689375,386410,362805,20327,857443,5489212,812490,115742,1539121,513814
926237,206164,146376,537923,1050868,299122,2667771,2310807,1470444,1491274,1774775,3256303,1054038,2093890,773703,1923279
850756,1017037,375942,702743,1263784,2845823,1613374,736372,628597,73492,187799934,571766,6282975,6042711,2791544
412864,1397814,19102176,3731441,29778877,18355879,791684,2565893,5342484,555190,6152222,8990291,265959,5529995,19388848,9700434
1394348,260789,439306,15529,78521,490111,435728,205811,245377,45907,1558412,280612,20892,78347,9902,35513
1044709,12630267,8583177,2040592,11206709,4261595,12866886,2157301,156505,7813108,6927976,20771858,11250442,21565683,4696001
3409927,6822947,7512,14186,8049779,1614704,187799934,122607,7793663,393653,101406926,121241,3362018,25013,6710681
910837,1684039,645470,4771608,5232952,16298878,342773,228998,105832,1614873,1058940,10139,4140149,3842898,1994824,2752405
635487,2475008,231407,86463,51710,401052,142582,34515,23851,385081,62739,109014,11812,252417,31612,244636
791684,45530,2845823,1571225,1992,93506,46167,4835,575564,8057571,205842,4531749,21675,6860217,27617
4166002,607885,134444409,6600637,3301473,33889392,13314879,2933150,283853,7460207,5696277,225031596,315558,122445075,8294908
3477532,6585574,17210050,754156,6003877,311948,5046141,17052267,3275758,3425117,4050859,1108872,15074354,150737,1789916,8590513
786274,141730,469927,1951136,2240382,30452,175904,6176070,7533,1986740,1475256,2556552,813172,401637,254663,78262
966665,554859,3071970,4253911,3814172,263674,1726174,1632719,261114,4714765,5048760,13701954,3140132,642535,7901002,2356210
336648,854387,2763043,26113,347551,104935,67614,571612,71159,861831,246989,675748,3579177,722363,605199,130455
159795,59274,2416058,96741,1480275,260789,729645,101411,159108,84611,24603,162191,87813,481530,149271,2322105
1302148,1733685,25852435,9296769,313369,147214,876914,131195,6193048,100714,2319276,586495,1854665,436879,1801529,289003
1628639,521254,299891,1144104,275146,2447154,2110953,3649965,3271339,303373,713418,3402031,1718412,2137775,3247944,143237
649655,226107,3336932,18995029,8397337,930976,3827377,6174374,7628407,2321240,1983001,609147,4512494,4098611,8004902,1049172
5342658,4383674,6934553,596378,1801529,28760095,890068,751860,587875,8057571,3699148,7800982,2288289,9850062,2875618,23898478
925282,6554305,277545,470399,3173952,187799934,4668,6996506,61024,40396839,25519565,42385,13533569,53721,105913
2597296,14136832,792144,6487184,16640721,470577,245656,13879859,501952,4902885,67698,666670,187471,1876690,88724,206722
1748536,684648,23965050,143651,1183363,1008558,510103,2359664,2192449,100915,894943,2495415,36401,4761531,1444739,7131970
2054422,9757502,1128860,296411,303373,782429,79070338,140715,57078,2985514,3983166,524010,3562194,3372541,9203,20561
548837,1669490,268955,3477532,3921607,22177317,550112,4116020,593699,265254,2130134,1705605,10583812,1880831,2385129,743660
1439002,1498951,1238240,2427714,263963,3112685,4854795,1376219,1035812,3179451,12489020,5184395,5133819,6195854,7795562
3269625,3594702,376991,490348,2845823,628597,7842,3054182,1263784,187853709,736372,109484,876257,5800364,1017037
2403679,6125143,8681263,265959,3624415,240404,8405575,7438236,1801529,2415800,5741550,7577337,466327,1122344,1997407,904391
18199332,57128151,11027444,579762,5761096,268150148,11222006,8110,114169046,4963020,834843,14589597,376098,3213516,8325123
1454073,4397444,6723738,4664660,16490006,13674162,1650066,2299310,3111190,2154894,7702650,1534143,4648794,4587956,2683054,988706
1093880,1190687,3700159,4746267,1020591,4099110,2989369,1694067,2994059,2180590,6866963,2221095,1308963,3638619
1926482,3755316,1305371,3608939,1061237,4630901,5441913,4510190,3743531,4120016,31859286,5963651,11587633,14702695,160205160,15359274
8048201,6710681,20203996,4448227,13957056,1463902,1565628,612675,1587338,2376371,12086910,16000206,225232,331296,5632266
1011530,1198903,153220,2403679,721763,5838006,434812,828077,2178879,7483137,490595,5342658,2303977,55162,12334550,349112
59430,47883,11097,50174,4738,6507,4140,116554,10584,55620,35535,9890,5329,29975,20521
10301,47,2447,1309,696,510,553,4902,1891,4277,734,188,98,347,709,51
1564,153,662,3835,2277,8224,88,1344,469,2476,188,2314,271,1571,1307,903
10875,24219,159412,1023,6055,40800,856,14153,4731,91621,27294,3998,44845,29363,12268
10275,530,9011,666,610,415,172,5520,52356,2950,1790,671,6412,142,3424,519
11775,22965,2420,4455,6091,14805,13542,31057,651,1226,2140,13414,5975,990,9519
30808,2065,33027,6030,599,137,5,429,6836,79,4139,124,138,947
70723,17748,1296,11787,975,9011,83030,586,408,30380,1638,5718,1266
30528,178579,884,159412,5456,91621,92695,3930,130186,93534,199914,99738,10355,111434,110782
895,361,294,4850,810,90,2094,261,52,6,2826,207,577,325,179,1163
159412,4215,3911,15112,117006,963,169306,110013,127,42199,30096,2270,2434,125606,3082681
2976,201,6028,216,378,1885,52,335,562,86,130,605,6370,405,1152
0,0,435,6966,22410,0,159417,890,9516,9,181,0,1241,1225,8160
17678,30819,6993,2321,1717,295,11758,11802,330,2427,18600,643,1968,11563,322,90804
1328,14982,4025,5183,2033,4055,1300,3328,2229,2114,1807,792,2647,5068,2722,2545
7542,2539,1079,258284,6409,1377,9053,2921,6679,836,12350,28649,3398,31286,5793,422
1252,673,13029,6528,5934,2500,3407,584,222,5052,2666,3027,275,6165,865
3285,805,492,1837,4128,216,6556,1090,3009,3118,3748,13016,1603,13760,1225,47111
4454,1296,2950,5718,9011,1521,460,408,3082689,847,70723,9317,12194
1226,1917,19505,4848,16131,10460,12476,3426,5944,1713,178,55346,740,6428,25749,15575
6244,895,2241,51,187,1218,201,827,2739,130,759,164,164,628,70,12
3602,34740,3152,4418,8081,15505,4024,6507,67,5301,8409,10866,8931,22180,952
25827,163586,130,67,22410,1195,3082689,179,17951,1499,294703,152,10374,36,15559
5083,6774,187,18202,57474,28986,599,512,73,1250,4,1352,1517,7778,10068
4186,6385,1423,53,228,1322,810,6,225,61,208,569,60,557,216,1374
12469,505,9011,5421,11,1257,89,14,954,22410,900,16072,251,20077,154
NULL,22734,2308,180,959
28859,30026,219,6483,348,26653,7075,2446,4079,48414,71
2277,224,388,1979,1122,7,692,3228,65,1348,553,17988,1343,634,792,16
8139,1759,26209,9009,9938,856,1631,2390,1533,12859,10779,51402,2906,1825,22206,10109
1870,1948,806,268,123,565,26,994,134,1188,421,1565,1497,747,1101,155
446,405,7346,309,744,895,615,177,520,29,70,285,22,470,230,774
8169,22069,56302,980,695,293,1178,319,6667,114,672,2005,2787,1024,6847,864
195,294,120,329,645,1339,797,1670,782,231,46,426,346,2314,1006,871
1033,568,4914,18271,9995,1089,2545,3359,1495,3463,2222,610,2691,4403,8023,2144
16712,12068,18787,617,6847,436645,2109,1302,2601,22410,3793,21314,1549,20597,8143,62624
14354,23075,337,1487,3800,3082695,57,10431,305,13572,45096,549,4053,170,624
5328,44178,1548,258284,22636,1000,2231,14319,481,12251,352,1296,311,6700,639,1070
5151,895,159423,773,814,4172,384,6919,2499,500,1352,1739,323,9460,1204,1315
1301,2050,443,66,231,311,18022,361,93,682,2689,543,1893,1118,54,8
4037,3948,28859,1799,83736,16009,8852,1195,37298,3631,56330,5891,32805,1846
1561,1828,3742,1743,152,2170,6055,246,1309,3154,3469,4962,1529,3354,4532
10479,13909,1296,458,9011,460,11,3095,5718,3082700,104,583,30380
12206,17506,740,5448,1049,31451,3501,6847,6293,13369,16109,1129,373,1040,992
25022,98154,33315,706,4290,63728,18945,1,11652,2100,540,37791,123,221,9778
6549,4653,5830,1777,8467,45284,2204,5716,4422,2268,3508,7299,3072,4856,4527,1377
2475,2876,7129,16465,1531,9219,1727,2050,6120,3552,7767,4672,2015,3850
10787,6607,407,1180,2982,1136,25853,1942,1639,42732,3572,2932,27440,51154,37943,30625
22410,15559,53311,6813,1066,3389,4319,324,164,9516,41653,16032,278,391,1824
4277,5764,183,12206,2255,21467,813,2370,6857,9556,1238,16712,13729,34,11858,1773
433765,612130,127436,449393,138819,88539,44641,161253,55847,109115,553052,371462,70888,18109,154108,229159
70138,347,26070,13633,12620,5740,1955,29286,3399,26147,21506,928,537,8869,7245,177
13621,1057,8184,67297,6262,19351,318,26032,7839,30734,2390,10558,1552,26426,6818,11156
56062,161845,2309897,11627,59457,321069,4753,87801,43421,2082383,382253,66387,257040,424191,81871
96075,6331,333179,31418,5473,18590,2029,25380,594501,56301,96202,8575,143436,3796,103714,23571
74519,132713,49715,38907,46100,61897,86495,149116,4554,22829,11204,59970,64135,40461,28259,127884
37138,1959,184690,24198,2410,12612,3400,364,283,3958,87,1121,12060,197,894,984
1340831,382842,46097,322536,98952,333179,2039268,16191,5827,705894,55297,13073,96508,167658,64663
163754,480285,9987,2309939,160758,2082383,506727,26466,442885,336035,406938,507079,211081,430794,379741
2530,1263,6519,69198,10831,597,31996,2643,395,389,13181,1347,6940,2147,2111,5373
2309886,63615,64348,44740,1071927,9627,3076454,3648364,1865,1385986,402100,54107,28519,2727531,8999331
35913,4367,92597,100193,4847,14643,25085,1477,14248,9924,2343,2066,33616,54768,11412,60441
158894,406535,8806,62302,469693,77,2309963,6055,245471,326,1954,181,13764,33913,81748
96896,146578,49682,23497,6527,2201,260841,217001,5033,7650,106287,6915,6800,90664,2219,287471
25253,380657,123942,70178,47483,69732,27177,41534,58047,40450,184914,24456,51050,53058,87915,43745
19121,10606,14334,409880,71333,40196,186617,17088,42139,10746,182035,371273,13504,275787,30526,6150
4974,6232,18350,24045,12583,19657,13455,5090,4902,712,8278,31440,7409,2322,16156,4895
15721,2533,968,6911,11502,3883,20367,16622,13706,20279,31515,44591,5986,19684,6275,18389
95353,96508,46107,56311,167663,333224,47445,55297,33116,5828,8999343,46593,1340895,203700
11204,27935,238200,34859,294663,155943,132074,39709,87038,28892,513,58404,6315,76448,257113,143518
22317,2530,8065,58,449,4131,2127,3171,5839,276,1786,1308,347,678,69,107
61772,359299,46194,116585,220111,163140,178789,88541,2092,211801,179190,314473,166326,252512,35864
293259,985671,939,1114,469699,23274,8999350,3552,217416,8432,2006243,5325,135130,698,401957
50213,64176,2289,178688,226896,308678,7065,8592,1475,7383,33754,27,37729,21398,63239,75962
3870,17234,2370,66,437,4025,1345,94,249,875,209,1252,73,811,248,2408
132035,3090,333246,41449,121,18806,3387,209,14753,469704,16626,197372,2277,3172
100190,7554,1011462,122237,45071,371686,301514,47198,2542,41023,58027,1651255,5250,554283,41927
95992,121814,14789,75887,2354,120286,185515,30682,38971,27012,20098,198724,1057,12329,121077
6262,1257,6724,25061,12153,75,2405,12817,156,23398,7178,9051,8021,3135,3309,242
34818,20326,31967,63394,79205,7181,8097,35595,7162,81033,83215,277662,19600,22078,118192,46422
3322,2721,7390,556,1393,649,365,2596,439,3792,1301,4267,13447,4667,2200,418
1111,638,30852,824,12105,2530,3196,2162,1524,141,232,2640,151,2541,971,21841
128990,110413,597200,53871,11033,2182,33702,5996,33722,1149,11546,52866,38889,20608,125922,14255
4494,6521,2575,13048,2072,10438,12620,39539,22495,2264,735,14151,8287,10558,26472,794
10755,5876,25528,145305,53521,10247,29527,28424,41070,22237,21360,8228,30854,39202,61439,8386
246780,159404,204174,7521,125922,1394554,22771,35371,46770,469710,120923,395336,30727,287134,62946,799517
130127,241274,4588,50340,160061,8999373,402,347817,6191,597516,1328054,4651,104502,2512,7256
47643,306393,38106,409881,235640,2944,12643,192843,6674,106548,510,21345,975,39063,3310,8973
85361,5778,2310158,9993,21819,34600,7357,57331,48147,1806,25329,16776,4719,81357,17092,42858
17333,64114,8658,1222,2264,3047,384683,1263,708,4567,28050,6166,24329,22636,300,292
18827,40207,20338,95996,36446,586701,8328,105073,19266,15669,115469,35293,180376,36842,51689,20083
27859,33834,19010,45123,2468,41320,96305,9254,11574,41489,97101,74981,62489,66353,60961
327095,397652,46143,12142,333307,33118,144,84409,167686,8999384,55297,3593,42271,705907,96508
73485,174699,28133,6315,63471,10875,192886,48028,125924,94459,152567,205442,15025,7491,46735,19045
760315,1629113,382714,13513,213607,1498595,266086,392,480858,90224,29481,923837,4380,11467,351788
42415,72863,56536,54681,124961,129682,39524,190236,59085,42268,115173,43289,75217,83724,62856,20396
22540,22782,38770,100072,17050,43195,20317,19925,38624,25645,59645,30170,32402,49340
87983,57829,8831,22127,28223,32641,111746,39619,16106,208704,114119,21501,108975,375172,772873,183422
469676,401983,803257,120572,19162,29782,70813,12580,3007,245478,1091381,438870,6502,13608,91917
66400,78926,5490,73488,6010,112815,7535,45897,47664,97703,25130,246788,134034,395,308117,18843
6940,14716,4287,7275,1251,2948,1145,22880,516,1633,9802,13006,5881,2435,9334,5521
772,22,4488,413,1160,342,75,294,69,1261,1723,49,5,467,210,26
1033,213,176,18465,217,6559,10,1256,643,3875,1715,650,52,1096,348,1919
8115,8859,63303,385,2243,5821,26,6370,1291,88601,5068,1031,9792,12511,2118
1105,19,1183,99,107,88,22,2727,8614,131,440,96,342,4,821,101
946,6384,194,2285,25147,1392,1482,11141,688,1179,329,1516,1051,1346,213,1588
4573,180,19592,4798,441,3773,913,43,24,716,16,190,3618,17,25,87
3976,515,154,894,534,1183,42102,143,7,1865,352,188,347,457,435
5186,7854,36,63304,29562,88601,8195,1445,9587,4310,13065,12703,6213,16559,6293
94,50,220,8054,652,16,759,164,6,38,577,48,662,40,86,331
63302,744,861,4196,138553,207,43445,109897,8,42968,16599,678,380,71990,437286
386,51,974,7434,68,136,390,30,386,225,49,20,134,533,118,1400
32467,21606,99,2949,13340,8,63304,281,1620,17,56,8,1743,1754,1149
2897,7899,2832,1739,205,59,6828,4206,498,2062,4011,167,348,1871,101,16973
343,7874,2034,1072,3389,2015,269,843,425,519,8856,1043,607,1824,788,325
7123,615,1564,34139,3161,4379,2597,363,4233,737,12902,37826,1231,14221,2073,559
221,254,1157,1106,1411,434,1941,810,383,9,953,1786,1163,88,1580,160
831,94,149,266,759,116,1485,765,346,530,971,1609,614,2127,170,6739
655,347,154,131,457,1183,1619,352,168,7,437286,147,3977,3710
329,903,6998,8100,172235,15633,580,603,3817,147,62,38860,354,5062,12911,2970
448,94,130,10,51,101,240,132,310,34,160,105,9,49,6,21
2456,14087,1719,1038,2652,6593,3153,2948,44,7962,2918,16820,2535,5464,1714
7912,51499,2,5,13340,542,437287,30,7077,236,44349,87,1705,14,9672
403,816,423,2230,2447,9221,72,225,17,4049,422,12,1292,5631,780,1040
418,1293,85,16,46,160,64,15,20,171,35,70,7,61,18,120
580,25,1183,595,0,18,11,1,203,13340,26,4062,3,30
7433,359,28965,4502,1316,8952,12244,1715,159,1400,3550,29396,245,44030,3189
2114,2152,1428,3122,399,1902,10016,2742,1325,3078,699,6755,223,839,8326
217,50,146,334,700,22,53,2336,7,685,480,945,599,95,102,34
1803,325,15922,3356,2238,188,5530,1257,200,3808,6833,7282,3161,221,8503,9143
235,348,1138,73,151,90,18,281,15,423,105,270,1306,486,356,101
70,23,597,38,331,94,158,24,54,29,8,82,23,209,86,532
1046,1790,46193,10354,366,192,596,61,4001,79,1869,197,648,166,1838,180
426,221,102,1080,79,1026,584,1969,2345,149,203,1105,1147,650,1263,21
151,73,686,3286,1878,143,370,632,1170,921,471,108,481,1110,1753,310
10541,3527,16856,135,1838,37803,688,483,411,13341,1326,5523,2657,6438,1605,23912
1381,5259,205,92,1904,437286,2,7568,26,6061,33977,26,2168,15,42
2085,14360,646,34139,15216,483,560,10702,358,6355,96,580,122,1560,2498,214
860,411,63313,60,300,1510,177,927,1403,73,479,668,128,17047,657,3211
730,6919,370,153,149,312,38932,50,14,955,1867,235,2744,1428,24,1
411,976,445,2114,2459,11057,726,1369,342,643,2107,918,7013,509,4612,472
463,479,1193,779,32,1218,1705,202,174,3467,972,4430,951,1238,2082
2515,1929,154,131,1183,168,5,1329,457,437286,352,24,272,1865,347
882,3290,10160,354,3692,54,8898,6249,1838,1222,3261,3920,338,487,2121,389
41763,41003,13694,436,3050,58164,28446,18,23082,2160,146,11586,230,898,7655
1788,1944,6856,1658,14628,6509,745,2610,1441,797,2048,2000,2374,1635,1049,391
736,606,1311,1733,329,834,1384,283,788,808,1697,1639,277,1112
1656,1386,508,1041,970,3354,4620,833,1934,4681,9546,6568,31436,34609,95006,18043
13340,9675,7862,3184,8138,1972,465,147,612,1621,14455,4083,55,227,2101
481,668,27,882,2634,7015,994,169,2048,1596,364,10542,409,14,4019,182
