dwV04XuiWq4,-RmUADCWI4A,UpMLVDma-4Q,lv5pavmipjw,V86wOWTUr04,9m9oO84Q2fk,tiMwkgWJcVs,Hk5dxn5dj2M,Va_MH9GdOC4,VjFNufvGl9Y,YU9rNxMOHbU,dlOPwVsI-O4,Gq59egL20dg,dCtXOfhjyf8,LAbXD3sx3fc,e1CEdPAnj44
UC7v3-2K1N84V67IF-WTRG-Q,UCDiFRMQWpcp8_KD4vwIVicw,UCAq5grDua25bzqGk231tdWg,UCveZqqGewoyPiacooywP5Ig,UC7yRILFFJ2QZCykymr8LPwA,UC2_-rdCXrRB2z9QZZPyn9Zg,UCQzdMyuz0Lf4zo4uGcEujFw,UCsgv2QHkT2ljEixyulzOnUQ,UCwnKziETDbHJtx78nIkfYug,UCHJuQZuzapBh-CuhRYxIZrg,UCLl84uzDoMrU3jfcUaDIIiA,UCv1cFr4ymBfWl4i2LGJ_yMw,UC3sznuotAs2ohg_U__Jzj_Q,UC7yRILFFJ2QZCykymr8LPwA,UCa6vGFO9ty8v5KZJXQxdhaw,UC7v3-2K1N84V67IF-WTRG-Q
UCgJRL30YS6XFxq9Ga8W2J3A,UCgJRL30YS6XFxq9Ga8W2J3A,UCgJRL30YS6XFxq9Ga8W2J3A,UC0PXqiud6dbwOAk8RvslgpQ,UCDLmS9vkPcTz3cAc-c9QIzg,UCE1rh8YHogAaKFRaUawqL9A,UCgJRL30YS6XFxq9Ga8W2J3A,UCW-fgAwviTqR52sUrTuQIsQ,UC21Kozr_K0yDM-VjoihG9Aw,UCqE3IQPWUDA9PZGaT6BDAKw,UCh2_rsnomVPrRB5-jMyMzMA,UCyXiDU5qjfOPxgOPeFWGwKw,UCB6aUtKm9baIJwa5Ac3QgUw,UCDxm-FbK9nmZKqHI19j-DOw,UCWxQUyYJFdyflFVz5cp4aXA,UCyXiDU5qjfOPxgOPeFWGwKw
4976563,52929214,49347148,4194478,1829933,37697985,1107214,50446612,182071,753474,1704574,60980594,34380629,4209515,51469137,83059967
1104523,4386764,2960815,2431919,2802686,4496518,1674034,669423,2592242,4303499,2704782,115876,2794432,542211,1748166,3498075
386401,265897,42245,51354,1040671,2389347,856143,142065,21661294,141884,1139436,1739894,225569,1048771,847862,99508
1110658,29135195,8107913,4854601,8252870,16621779,7214917,19075,528852,229347,2396954,3697956,20996015,180761410,27786
2703811,43293815,1687201,536616,404555,980698,19957305,528680,109213,43601249,2777733,2664793,15831382,7487734,1822509,3011450
288994,222646,562964,346913,3334092,843728,188903,414425,47743,64287,657990,86317,475148,96177,145103,375147
2204931,7722399,7636317,1887889,98429,1839293,3908939,8720369,1282315,5000524,3203752,454794,8976273,3665071,6089907,15804651
10294720,2394304,8419028,2561614,258591,1632807,536989,1061651,104283,638311,58408,1829325,4016083,816032,376890,3791835
44906015,285625361,108219359,383824,192440,55449,29789,196281210,2573687,1494112,7559737,481014,298545226,15889295,780140
562964,186525,13737,347481,19438,62836,231306,222646,29393,919660,1967896,288994,41011,25980,3334092,843728
955694,19335734,206878,11089,16829617,15164932,21316,2628301,2035501,1837859,1311747,1142540,2828277,325062,467110,79414
669032,1046327,1242644,46606,226925,2202054,8708670,408195,2037012,3764559,3031251,133568,3583025,980586,14560570,2395283
1303065,7616942,5248199,734804,17440263,9698781,30721373,685976,2416156,10452951,1358933,3203247,11103315,2938945,17821531
919660,563162,140226,1076577,3292307,347481,288994,690929,47743,149239,18915,32371,222646,8024,11028,199400
623248,1286890,1286280,452937,3105098,4132073,9327327,419510,27244,931671,6174,5153947,339380,25660048,79389,6376996
640778,4881228,1628002,7143427,387193,12639423,483449,15421151,3371640,6217310,3991267,4987293,1953595,6942579,3189393,7636090
26812810,654685603,58882,1419275,34551923,52637957,32770133,196699592,1749,13648559,12186525,8949536,3678034,4203230,16218039
12870789,17068398,5920935,1033803,908772,2628140,21081224,504091,21578137,1210548,2086660,2321881,20017557,1012027,11120485,18503774
624039,2968424,3084795,37905,4636309,79217151,9566951,206337,38383603,8281699,19077002,3890679,833721,21242,1865
437985,734687,1857378,65444,38200,6444525,473372,1266072,222860,5294095,1284673,1053518,3693114,828957,2518302,93630
843728,563162,731141,396958,1218227,1817622,288994,293018,64287,414425,1076577,392380,289939,393558,222793,409977
417391,2323746,5105141,1774146,682248,676005,2344880,2990779,2353814,3034762,609965,12129738,8794099,559332,472297,1211246
414425,22348,866839,140673,546454,563162,11258,347481,654803,288994,38195,87456,13737,843728,437316,84346
293756,63340,4861099,2094443,1112343,1095028,1386401,717593,4842330,765078,2264455,2295681,7659919,983887,1420597
810271,1829325,381417,2394304,2030896,3105098,152517,1488582,109732,269072,175372,58408,1233770,665760,569122,337066
474392,2040956,75763,1433926,6051011,8720259,157875,22902,865250,96951,3529537,52642,909612,1707890,685181,136101
166743,2655237,585944,10091415,1747298,251384,256172,3144419,323278,1183835,326130,818518,457624,722599,2030256,10299536
425859,676005,13793173,27277,897896,199530,424125,34420,9482614,119503,730784,7633,216438,364965,267606,579960
161597,391718,442513,3191871,15611,666204,7197,3887,225569,800838,1262246,88177,626469,24850,100186,6025904
145532,22717773,685976,170451216,2780,2233670,82981134,3410,3365779,39106334,163347,8774239,3340,67506334,953703,423329
1216173,2129602,29138867,3051689,80201,9842730,1602844,7990578,872549,331295,383468148,418035,246107812,643418,757719889
1488582,1829325,3095459,2468422,285989,2394304,152517,58408,816032,4500217,1233770,853061,8419028,32064,2561614,1115302
146363,200254,522327,434172,265858,53240,540859,1978064,8461,3804,339698,240035,3460,64744,667719,872983
302126,569240,332207,494492,1109856,1304626,283622,4257965,109357,148415,1892838,486134,686482,526228,3927944,508854
900433,2404821,1194448,1049692,6854610,3169288,13751859,26198735,8186735,8204057,339970,1447696,2365342,2532032,20558210,616323
2440105,1761866,2709853,13870797,1747504,1910182,759192,828208,4946677,2121601,1457326,4550301,3051725,305667,739782,19732869
1107214,1829818,2227482,2304758,11169676,4517439,3633833,5049734,2700999,1117541,3570950,1487511,4710660,3046004,622186,2115035
1139120,605612,6632885,119386,949311,9080233,1194774,182257,1062065,1710398,9816,13743145,133428,393367,1305895,2373339
2143516,1574486,27084047,3810211,1245182,27277,4470665,3009547,685976,1303177,39855857,444931,1751351,1691274,20064142,1114116
2164363,1291535,13832726,1286890,1443523,1025001,1243840,976506,865328,75151,111015,2023663,20245,736910,153808,11164717
1433926,3777508,1690830,5215863,359823,246844,217150,2521910,230503,981086,246740,4116514,993704,15642810,1680654
765078,1668989,657391,813927,1693223,9942558,5638873,1045569,1747504,2071849,2386059,4459585,4465304,976964,1688218,728737
2649427,58582285,1186350,1360294,2963428,1406184,7073576,12591652,11189118,40120041,23313897,45541679,21416803,1563841,37360588
681429,8567132,1156876,1575941,1166439,665615,900831,1645973,1392462,813874,700879,1649332,1301821,753238,1039950,5769336
8401879,3834909,648621,313585,1710398,119386,1305895,10941735,2340435,101099,1095484,7559750,88184,13130254,2406342
246664,10148274,1690830,53637,5215918,33325,1433926,827103,2040956,291070,25355098,1853400,375682,31962,42393
562108,364965,5586800,916715,2446594,16047133,7353281,1591408,68409,69455,5673745,504699,2738196,240635,345661,2342779
275014,2149916,339698,63503,1980546,10356550,270967,1059430,2389347,66608,1018277,1040671,2655409,55695496,325495,2034737
299411,1829325,184367,5392107,152517,1542322,2394304,82798,264048,1493018,752044,544935,1581256,1327407,2429104,1242073
681256,8862954,899477,745382,622186,2025670,1963941,133512,11238807,1635796,2325095,302855,30748,1145391,1690361,161380
13481,41144,42112,668,850,34616,6119,43676,446,142,221,27092,19897,3351,32339,39043
10175,18048,14665,21621,25757,40081,6826,5201,19318,33235,1547,1482,14816,5552,7836,21605
945,187,7,29,825,2391,444,431,4921,947,356,906,514,1520,1211,622
5854,183740,2904,8274,63370,38416,7154,156,2104,435,7722,3016,18067,73791,138
8728,13428,129,118,725,450,8895,327,2086,21426,1301,2634,2099,1816,4211,4101
1390,1407,2357,3104,12734,4115,402,1020,125,160,2937,503,2636,346,1323,1471
10251,5342,6813,8683,481,2877,8656,5346,5338,8898,7231,1169,1995,5199,12954,24146
17322,4854,8453,1442,1026,2984,711,4439,346,1761,28,11217,3291,1085,1442,6446
317213,423946,273659,634,213,248,3,3126514,328,1304,16132,12921,170409,38671,2672
2357,501,48,1062,97,120,1377,1407,23,4153,8628,1390,438,43,12734,4115
10570,2225,906,10,5309,2481,272,2732,2514,1956,2375,393,4316,1372,954,90
73188,2481,10238,1803,1698,7379,32416,2947,4394,8076,6824,1579,7168,4819,231925,6235
5256,6117,7771,1143,13075,6057,26346,3568,2594,12476,3608,5960,7420,2909,17233
4153,2357,223,1901,3215,1062,1390,597,125,811,66,57,1407,613,22,853
4193,2070,3932,622,2802,2767,3087,783,168,3493,9,3751,2382,3125,151,10856
1357,6056,1665,2828,1117,4807,244,5285,1939,3368,1358,3267,2237,3213,3157,3376
89864,175358,429,1020,29201,43112,3083,56975,3,5104,2744,4922,1635
69242,50338,18982,4283,2684,771,21404,3166,68330,1722,6194,6835,41464,3759,33850,38578
6899,2015,2733,430,2030,8264,1628,120,4578,5754,980,2019,114,33
4580,5012,1074,30,1330,1281,3769,2687,793,3660,4826,4543,6207,6178,8028,1013
4115,2357,2637,1619,6366,9472,1390,1291,160,1020,1901,2922,1385,3266,1407,963
1904,3537,8092,1921,3552,3179,1670,9570,3298,5633,1394,10825,12216,1019,2871,4065
1020,22,163,223,1454,2357,11,1062,390,1390,64,77,48,4115,461,85
816,384,3835,4724,960,1781,1981,1710,12258,3382,1618,3184,9172,2528,1334
4717,11217,2399,4854,1633,2802,1194,1855,121,1746,626,28,1128,2915,2791,3047
2034,521,231,4268,2190,15007,447,12,216,246,2390,156,801,1438,1710,582
768,5250,3804,3319,7955,1113,562,724,1328,4276,720,1165,2887,1850,3467,35509
1467,3179,32415,168,3538,1141,1025,465,9317,834,6575,183,2314,2185,2711,1228
431,251,185,893,58,364,57,3,514,1207,439,695,939,198,694,32113
1956,15225,3568,16575,26,86579,170799,4,1258,11857,143,2760,245,6426,238,40
14884,17326,183813,24429,992,30645,6732,38234,3402,1276,105012,1201,81719,4733,193128
1855,11217,3103,809,1701,4854,1194,28,1085,1916,1128,1262,8453,169,1442,1670
307,471,3743,965,276,249,736,7343,23,19,1003,396,12,277,1163,1730
623,2328,748,498,2266,1961,1150,14072,2094,351,5580,262,868,736,4742,2844
1847,713,2137,923,7852,56851,3837,2382,713,593,472
16367,15428,39017,12204,7955,1993,1835,2141,1172,6055,16554,13565,1242,1746,38329
6119,6004,7511,13864,92595,15525,17390,33714,14019,4539,11521,3070,12382,13357,4726,14296
12359,563,30982,427,667,23503,6642,334,3614,6719,217,52444,303,703,6582,1842
7788,7985,4465,4428,4257,168,49828,3388,3568,3134,18588,1551,1018,2174,50508,5104
4835,3932,5027,2070,7282,1040,3337,1013,1044,507,2541,1568,240,686,453,696
4263,6154,4142,1687,1125,154,1911,53,378,157,2565,965,3091,335
3382,4612,1898,2009,1082,11138,1553,2934,7955,6080,5374,5800,7762,7049,5685,2379
34868,178602,2886,6003,20138,2079,4666,5051,63708,130230,10398,92702,98173,5389,111446
1972,12261,4443,1654,1173,2846,1251,1160,1413,1744,585,1864,3869,1404,1068,6981
78211,10324,1856,240,6719,427,6582,68059,1567,645,4476,16132,243,43042,12265
1125,17162,4142,34,127,4268,416,521,406,6681,3011,574,117,80
3313,2185,5975,3612,1368,15959,25428,4839,291,479,12775,2839,5469,970,560,1417
324,827,1003,287,2382,8630,1470,1209,2391,273,133,825,1553,29701,225,3696
1895,11217,522,4968,1194,947,4854,1881,1033,1855,569,1396,7133,3079,2437,9095
2898,19777,3945,1603,4726,169,6595,346,51994,2133,5451,1047,257,1452,3110,343
240749,577198,364524,11834,8672,568721,50291,637542,4414,2348,6078,402195,358053,25872,514844,451172
86641,139967,135030,169905,167390,211700,78453,59855,91826,198238,56520,16734,128340,51956,66939,111699
5160,2062,57,168,5179,11117,5404,6538,65688,2212,2977,9153,1463,20977,5123,851
96635,2700308,85000,55327,504833,197566,124061,627,4969,1852,137464,69966,514883,2750651,883
164264,237548,8047,4018,7634,5734,295636,14091,3508,332974,42365,29378,49751,107477,11248,24950
3846,2497,6147,8587,18244,9595,1128,3841,866,495,8695,1131,4872,896,2386,6216
101677,109924,65493,102234,3970,82932,135472,64478,21475,78227,53864,13870,51341,48055,148907,173984
135019,53556,224938,13431,1859,18646,12879,27120,742,6131,340,33370,17037,8210,49349
1580791,2415595,1965865,13315,7605,2720,299,9087446,8290,27482,430456,43301,1640372,943401,22406
6146,1674,67,1902,93,250,2511,2497,106,9417,14655,3846,209,124,18244,9595
35808,83522,7304,117,90257,92192,868,10319,31101,16014,35536,11696,36832,8742,15577,1074
68088,39594,60549,5977,12227,144174,350873,23158,85711,128767,86592,14411,128144,44873,614955,69664
50887,95057,93343,19063,241554,96164,210814,38535,45524,146270,55246,72104,122079,60797,183662
9417,6147,1238,6007,41355,1902,3846,4752,866,1756,107,109,2497,969,55,1858
86994,37136,56375,7788,64785,89732,95606,8000,892,32145,185,136108,33139,210338,1415,136734
18620,96654,30315,60120,4359,91455,4745,109257,37830,66585,31555,58019,21813,78080,41624,71368
914043,2504937,2327,16878,380619,625895,28528,986077,35,104680,32441,74602,70317,56849,37563
495269,452292,154686,29227,15730,6373,283502,16699,282052,14422,79682,92790,531349,32240,268096,461924
67967,23878,72621,2370,16979,101739,49702,2283,1650040,30451,80633,17951,20891,1163,142
13569,20154,25129,234,3723,25576,11761,8219,7993,61739,26434,24467,81493,23819,39548,5676
9595,6147,8417,2878,9473,14819,3846,2812,495,3841,6007,3641,3051,4377,2497,3641
15627,41033,136339,20054,13445,27691,25831,116170,28173,74770,9386,84922,145908,5045,9892,50602
3840,94,6993,1238,5901,6147,56,1902,4378,3846,157,1057,67,9596,7609,271
11023,3530,44591,28618,15722,11345,30610,18999,77555,14048,32152,28483,101292,25985,23564
NULL,33372,53561,64785,3789,16782,775,7582,1879,340,5573
19227,15605,2581,58139,45892,143518,7233,5445,3842,47119,1495,13175,28527,17398,3333
6634,44790,21178,45179,47510,7985,5531,23838,8531,15452,8867,11120,9714,13870,24987,185490
22642,27693,288051,892,33977,7400,16767,3393,66831,6019,63942,374,14704,17501,28637,21649
866,1668,1691,14577,146,1457,174,20,1463,4308,5215,5188,2876,301,2544,44333
21669,517352,38538,994877,263,180840,3106615,71,51515,414802,2617,116825,308,259201,13049,7353
75513,114367,2701442,163368,5248,69385,22134,338357,50036,13484,2235319,25714,1406928,43430,4060376
16778,33375,55077,18511,6324,53563,3791,340,8210,15308,224941,445,13431
1376,1583,8982,4763,2968,742,5822,26632,87,80,2961,2198,23,1154,5390,7975
12336,15271,9844,4160,22439,25362,10288,186894,3509,5174,43953,5083,5760,17143,64728,19486
26004,40836,17144,15440,82847,38961,194729,601877,98938,131382,33196,29562,35498,62470,267129,12248
110785,65611,69560,140058,47511,28065,16296,22906,60055,18906,41172,200321,86640,13743,29045,291803
50291,61088,65362,97748,442996,114354,109712,44154,90190,51271,110204,35172,183462,104298,25387,174288
110311,24645,274546,6475,31545,506692,24616,3263,71399,205040,1212,595568,8256,6754,147560,99808
49897,42821,108437,33800,26000,893,72440,66594,38540,10425,180100,7711,38095,40357,497735,21965
87839,56407,95742,37145,34264,33358,35496,22937,8026,6610,4584,45098,1141,25241,2814,35797
58130,96015,40244,117420,8879,2821,4636,25605,1544,14959,3735,86231,14886,195622,14445
14047,29728,16486,13554,14420,136853,45664,17122,47511,24489,25537,55762,40672,16792,23750,12256
189578,480620,35548,54542,108392,18828,62107,127547,136329,443387,211710,507082,280195,39806,430940
20427,114951,31837,19351,15158,21741,13695,20399,22009,17886,12416,24795,25654,18337,19567,75385
1550730,405348,58051,11178,205051,6475,147560,1053663,40772,5196,95152,430471,4093,1123492,334330
2821,60692,40246,620,117420,1186,58143,8173,15605,5709,157537,32477,5973,506,832
18887,17503,49787,26215,38763,121328,103855,37196,2261,2952,99349,16073,49031,3874,7862,27191
1399,12429,2961,559,19403,61697,3122,6980,11117,662,3643,5181,9583,255039,3075,6249
12031,33377,2374,62405,3791,12904,53562,4280,9126,16788,2608,13673,50714,22234,37666,28267
32465,114850,25970,12339,25388,6056,38805,1002,136571,36683,34709,3344,679,19260,31173,1812
3719,17230,8714,946,984,16255,1281,27582,80,101,359,10515,6814,4922,13977,11527
1882,1603,1137,675,1020,1247,440,359,954,1857,1120,70,1652,279,651,1756
98,45,10,25,271,683,126,148,3649,39,318,845,212,394,200,62
3753,75511,4465,3384,10966,16185,3598,46,313,1478,1610,722,20001,62260,38
1339,40408,155,143,110,1978,6155,217,852,36404,827,2467,10313,1854,3118,1461
379,194,277,531,2591,329,112,123,33,49,3903,34,307,57,392,188
1413,2594,4342,983,73,2681,5635,1917,2325,5942,1501,152,1378,1439,1985,18172
3238,543,1387,1279,45,2108,1197,1323,12,2452,6,1188,351,625,872
98580,199518,189711,657,36,55,29,447082,3266,441,10492,535,173580,12149,1744
277,135,7,108,13,33,150,194,6,495,2807,379,37,6,2591,329
4757,6386,269,4,5417,4127,24,2817,1326,1298,652,668,2911,342,365,50
488,2568,765,94,217,2117,5872,357,726,3513,3629,157,1907,624,28958,1393
1435,2162,2865,187,4077,5798,6456,229,1612,14529,432,1388,5495,2108,9302
495,277,54,564,952,108,379,107,33,96,12,21,194,35,4,156
335,2639,480,82,691,1542,2202,71,38,202,4,2197,822,3083,16,3990
151,1709,511,1084,143,1538,53,1513,455,1245,453,943,1809,956,3480,684
92745,308350,300,1266,80950,60378,17222,86964,7,4120,8529,17623,1659,2189,11284
9171,7315,2401,682,433,461,21994,381,26184,1155,1364,3048,29734,289,9742,16873
442,411,1486,16,415,58485,2449,53,52633,891,1928,527,401,3,3
944,688,2770,57,102,3383,253,511,131,2255,774,887,1732,648,3202,68
329,277,282,503,10447,1467,379,267,49,123,564,425,273,741,194,177
251,1151,2947,830,424,832,1230,2436,1489,772,886,29959,3477,166,706,844
123,11,265,54,352,277,6,108,319,379,13,8,7,329,59,32
214,56,1016,874,432,281,201,245,1374,1440,526,708,1977,199,638
NULL,1188,544,691,161,1893,18,239,126,6,770
440,600,89,643,904,1809,120,137,95,370,33,280,880,189,315
101,641,226,2926,2179,249,143,734,123,1524,361,546,448,255,325,5518
978,832,15100,38,838,88,360,50,4235,166,1474,41,156,754,1143,506
67,172,346,729,8,94,2,3,212,236,186,198,175,37,191,4280
90,9137,229,25586,15,2260,44012,0,769,21507,35,1041,27,32889,199,101
15647,2515,75557,8926,81,9349,3635,39726,541,183,63657,178,66484,1293,138649
1892,1188,1330,1432,1099,544,161,6,625,1324,1387,26,1279
38,62,801,134,123,25,202,620,2,2,134,64,5,27,332,256
257,652,143,493,484,655,790,2228,853,75,1395,392,142,177,3439,350
276,1198,330,665,982,510,3883,46795,1660,1613,823,209,323,516,5565,152
1712,1526,5947,5435,2179,1494,561,294,1520,1686,1375,2324,1484,58,175,17974
1281,1551,1320,1859,7171,6422,3929,3590,2419,1139,4818,1198,6458,3297,768,2923
1827,115,1173,59,100,15193,11882,541,212,624,17,8634,20,157,356,458
2703,3791,12938,3564,607,38,10571,2008,229,1161,14568,229,704,1290,11371,1201
622,480,3596,2639,889,1441,1350,282,985,193,158,595,56,107,150,3751
643,1009,521,8821,223,233,110,409,31,140,126,1235,192,2912,398
1440,1755,420,784,1586,6420,5138,364,2179,1687,1754,3669,6050,1329,1243,729
6323,7855,542,400,3307,646,4255,2361,20755,9592,6234,8203,14305,2009,16560
316,3888,563,497,420,953,241,438,440,315,344,619,602,384,367,2530
6215,1431,270,43,624,59,356,10801,380,56,130,10494,19,15562,1131
233,6697,521,12,8821,18,643,138,600,219,8949,1464,270,19,56
1210,754,8948,1335,4563,28129,6870,6485,79,321,6127,701,2163,259,612,952
161,738,134,25,1728,2646,149,398,683,38,152,271,874,10052,65,983
302,1189,27,2162,161,400,544,304,356,1893,79,424,2947,1686,632,544
411,4464,293,300,768,1049,2720,338,13069,557,3686,323,27,500,1020,127
